2016-07-02 08:52:22.593 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:53:36.838 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:54:36.669 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:55:36.685 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:56:36.693 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:57:36.703 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:58:36.714 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 08:59:36.724 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:00:36.726 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:01:36.740 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:02:36.742 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:03:36.756 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:04:36.760 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:05:36.774 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:06:36.775 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:07:36.789 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:08:36.805 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:09:36.819 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:10:36.833 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:11:36.847 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:12:36.863 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:13:36.877 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:14:36.891 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:15:36.892 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:16:36.906 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:17:36.921 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:18:36.936 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:19:36.944 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:20:36.952 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:21:36.966 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:22:36.980 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:23:36.995 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:24:37.009 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:25:37.023 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:26:37.038 | INFO  | main       | mpl.FreshTokenThread:38    | fresh token alive ...
2016-07-02 09:27:45.976 | INFO  | main       | StartService        :18    | System Started ......
2016-07-02 09:27:45.976 | INFO  | main       | pl.FaceBookImplement:44    | facebook init ...
2016-07-02 09:27:45.976 | INFO  | main       | .config.SysParameter:48    | System begin to init the parameters.
2016-07-02 09:27:46.070 | INFO  | main       | .config.SysParameter:72    | System parameters loaded.
